,file_name,image_frame,class_id,detection_score,filter_level,AS_seed_area,W_seed_width,L_seed_length,LWR_length_to_width_ratio,eccentricity,solidity,PL_perimeter_length,CS_seed circularity,"IS_intersection_of_length_and_width(y,x)","CG_center_of_gravity(y,x)",DS_distance_between_IS_andCG,roi
0,17-18FND_J647-1-033.tif.jpg,1,1,1.0,1,2880,34.97974345075975,107.44797582802006,3.0717199506986756,0.945524650499715,0.9486166007905138,267.62236636408613,0.505309587956105,"(2024.0, 523.0)","(2025.1048611111112, 524.0680555555556)",1.5367045078996093,[1967  496 2083  554]
1,17-18FND_J647-1-033.tif.jpg,1,1,1.0,3,6753,61.677266445726566,140.13682973008468,2.2720985835745378,0.8979381086839867,0.9765726681127983,356.53405460951757,0.6675819372926073,"(1241.0, 279.5)","(1240.2595883311121, 280.06100992151636)",0.9289464847154093,[1181  226 1301  334]
2,17-18FND_J647-1-033.tif.jpg,1,1,1.0,3,7260,67.3142397967934,138.05388891931221,2.050886845577785,0.8730705289382625,0.9751511081262593,358.53405460951757,0.7097177379725678,"(2321.0, 1269.5)","(2320.1644628099175, 1267.0246556473828)",2.6125566137492138,[2263 1213 2378 1323]
3,17-18FND_J647-1-033.tif.jpg,1,1,1.0,1,6711,62.978933230502136,136.99680527735018,2.175279863441693,0.8880685957982384,0.9703585887796414,354.53405460951757,0.6709361432064928,"(2234.5, 893.5)","(2236.4403218596335, 893.8633586648785)",1.9740512755027355,[2178  839 2294  950]
4,17-18FND_J647-1-033.tif.jpg,1,1,1.0,3,6769,63.777430839996036,135.58974517805498,2.125983179194231,0.88246897474821,0.9803041274438813,343.50461735799473,0.7208903628749097,"(1770.0, 715.5)","(1771.6135322795096, 713.7396956714433)",2.387919124709825,[1717  660 1826  770]
5,17-18FND_J647-1-033.tif.jpg,1,1,1.0,1,7816,66.26879474190439,150.88844822899304,2.2769155349309576,0.8983938881521468,0.9698473756049137,385.6051224213831,0.6605547589349103,"(1834.5, 425.5)","(1834.7469293756396, 423.60491299897643)",1.911106710260389,[1762  378 1908  474]
6,17-18FND_J647-1-033.tif.jpg,1,1,1.0,3,6380,58.868444434899246,138.38308479763742,2.350717538505216,0.9050044848054192,0.9803318992009834,340.3330444827409,0.69218519369135,"(2014.5, 993.5)","(2015.5760188087775, 996.5633228840126)",3.246808212469274,[1962  941 2067 1056]
7,17-18FND_J647-1-033.tif.jpg,1,1,1.0,3,5905,57.75547247348649,130.70654858427088,2.263102403746652,0.8970784551508277,0.9765172812965107,330.04877323527904,0.6811982447882682,"(798.5, 1625.5)","(799.8960203217612, 1625.264182895851)",1.4157974591654576,[ 745 1574  854 1678]
8,17-18FND_J647-1-033.tif.jpg,1,1,1.0,3,5272,53.64984318071108,125.8508140245664,2.3457815822621826,0.9045831863389368,0.977563508251437,316.35028842544403,0.6619859866370467,"(1619.0, 575.0)","(1615.6327769347497, 576.2877465857359)",3.605063444688342,[1587  508 1645  643]
9,17-18FND_J647-1-033.tif.jpg,1,1,1.0,3,6626,61.95433613025057,136.93755946466405,2.2102982295988363,0.8918011187251077,0.9762781788713717,347.60512242138304,0.6891106472301475,"(2058.0, 1116.5)","(2056.9005433142165, 1116.3803199517054)",1.1059513180397231,[1997 1068 2121 1165]
10,17-18FND_J647-1-033.tif.jpg,1,1,1.0,2,6394,55.46147284564356,147.77457157199973,2.664454512112858,0.9268988057942199,0.9757363039829086,359.747258045114,0.620851180174938,"(1125.0, 710.0)","(1123.4472943384424, 711.3368783234282)",2.0489359489953225,[1060  665 1193  761]
11,17-18FND_J647-1-033.tif.jpg,1,1,1.0,1,6341,61.59070502742883,132.31279906652367,2.148259205794112,0.8850514693209653,0.9692754509324366,338.2914139223983,0.6962827994532008,"(2445.0, 588.0)","(2441.1775745150608, 588.7882037533512)",3.9028453395836604,[2392  530 2495  648]
12,17-18FND_J647-1-033.tif.jpg,1,1,1.0,3,4566,51.965661331431434,112.83799042550075,2.1713952547593323,0.8876423853134341,0.9752242631354122,286.5929291125633,0.6985778782989128,"(2285.5, 622.5)","(2285.6793692509855, 625.3924660534385)",2.8980222908896414,[2246  573 2328  675]
13,17-18FND_J647-1-033.tif.jpg,1,1,1.0,3,5616,56.37454921938631,127.44887911717481,2.260752074862661,0.8968520338062698,0.9782267897578819,320.936074863071,0.6851724459678736,"(1087.5, 956.5)","(1086.6424501424501, 959.1337250712251)",2.769819400066232,[1058  892 1117 1023]
14,17-18FND_J647-1-033.tif.jpg,1,1,1.0,3,5569,56.65277097961252,125.79943332466277,2.2205345148948474,0.892856127594601,0.9799401724441317,318.6345596729059,0.6892889639569755,"(2365.5, 955.0)","(2366.127491470641, 954.3542826360208)",0.9003868390149903,[2315  906 2419 1006]
15,17-18FND_J647-1-033.tif.jpg,1,1,1.0,3,6411,58.23296245417027,140.9450367430954,2.420365215903623,0.9106580934731705,0.9804251414589387,350.00714267493635,0.657630317611387,"(2419.0, 206.0)","(2419.9588207767897, 209.46825768210888)",3.5983536001219933,[2388  135 2453  283]
16,17-18FND_J647-1-033.tif.jpg,1,1,1.0,3,6331,59.98017517998291,135.20506395605602,2.2541625387112543,0.8962131351428225,0.9841442561790766,338.492424049175,0.6943593238235551,"(1786.5, 887.5)","(1785.4484283683462, 888.7238982783131)",1.613607725612631,[1720  849 1852  929]
