,file_name,image_frame,class_id,detection_score,filter_level,AS_seed_area,W_seed_width,L_seed_length,LWR_length_to_width_ratio,eccentricity,solidity,PL_perimeter_length,CS_seed circularity,"IS_intersection_of_length_and_width(y,x)","CG_center_of_gravity(y,x)",DS_distance_between_IS_andCG,roi
0,17-18FND_C656-1-027.tif.jpg,1,1,1.0,1,7624,65.28812533197554,149.2460120856408,2.2859595267402484,0.8992412448685015,0.9730695596681557,377.1614716074871,0.6735007884203931,"(2323.0, 541.5)","(2324.391002098636, 544.625)",3.4206010931427686,[2261  487 2387  603]
1,17-18FND_C656-1-027.tif.jpg,1,1,1.0,3,8165,68.42919786145512,152.23023909396585,2.224638660856118,0.8932746938389103,0.9787820666506832,383.3036072312181,0.6983614215701317,"(2046.0, 958.0)","(2049.547091243111, 962.9221065523576)",6.0670412228463215,[1984  901 2110 1024]
2,17-18FND_C656-1-027.tif.jpg,1,1,1.0,3,8608,70.8494942071448,155.5673172154317,2.1957435117404627,0.8902733360334102,0.9751897586949133,398.3746750430835,0.6815985814390249,"(1399.0, 894.5)","(1401.419842007435, 890.7551115241636)",4.458679741515321,[1333  832 1468  951]
3,17-18FND_C656-1-027.tif.jpg,1,1,1.0,3,9029,73.1396364503931,157.87106406584735,2.158488498543786,0.8862082205210979,0.9764247864172164,409.40411229460636,0.6769321108791613,"(346.6121520996094, 1299.418212890625)","(346.4117842507476, 1294.5735961900543)",4.848758423586983,[ 290 1223  402 1369]
4,17-18FND_C656-1-027.tif.jpg,1,1,1.0,3,8713,69.6578753562547,160.1698267734587,2.299378583602992,0.900478702647229,0.975918458781362,403.889393668845,0.6712011331008936,"(2213.0, 304.0)","(2218.8704235051073, 304.43716286009413)",5.886678477338623,[2157  234 2280  376]
5,17-18FND_C656-1-027.tif.jpg,1,1,1.0,3,7561,63.5044985163413,151.91175183521437,2.3921415865700233,0.9084307112613556,0.9769996123530171,378.0904037956216,0.6646573206190437,"(1470.0, 720.0)","(1471.6701494511308, 720.9738129877001)",1.933316043518433,[1403  669 1541  773]
6,17-18FND_C656-1-027.tif.jpg,1,1,1.0,0,6445,61.3233152545605,135.62696569433308,2.2116704736416994,0.8919434734077362,0.9799300592975521,343.01933598375615,0.6883282308629719,"(1624.5, 1697.0)","(1626.1495733126455, 1699.3545384018619)",2.8748814235781373,[1567 1643 1685 1749]
7,17-18FND_C656-1-027.tif.jpg,1,1,1.0,3,6789,59.984130524612304,144.72713165888905,2.412757014115684,0.9100658821448114,0.9757114113250934,361.747258045114,0.6519363201521998,"(1955.5, 1601.5)","(1953.5366033289145, 1599.8964501399323)",2.5350145249589615,[1896 1542 2009 1663]
8,17-18FND_C656-1-027.tif.jpg,1,1,1.0,2,7227,66.79150608064475,137.92022703909458,2.0649366234168802,0.8749150834304287,0.9805970149253731,352.0904037956217,0.7325875632781905,"(1834.5, 666.0)","(1834.3269683132696, 664.7574373875743)",1.2545524343011227,[1775  611 1893  719]
9,17-18FND_C656-1-027.tif.jpg,1,1,1.0,3,8076,68.10711412351826,151.76783375950512,2.2283697630215364,0.893653040751149,0.97677793904209,385.5046173579948,0.6828841080018411,"(1130.5, 905.5)","(1128.7662209014363, 909.8578504210005)",4.690079983798869,[1060  863 1203  960]
10,17-18FND_C656-1-027.tif.jpg,1,1,1.0,1,7659,64.08933600810576,154.05379173607753,2.403735181724982,0.9093558274074345,0.970722433460076,391.94826817189073,0.6265048449060143,"(2394.5, 1075.5)","(2396.3375114244677, 1076.8356182269226)",2.2716347160442307,[2314 1033 2477 1119]
11,17-18FND_C656-1-027.tif.jpg,1,1,1.0,3,6795,63.427495009965234,136.6879864728719,2.1550273497541808,0.8858188381656162,0.9812274368231046,345.3624817342638,0.7158944774421019,"(607.5, 1638.5)","(607.1874908020603, 1637.6285504047094)",0.9257896067299107,[ 555 1578  661 1696]
12,17-18FND_C656-1-027.tif.jpg,1,1,1.0,3,7210,66.77740597215073,138.3041658114763,2.071122167715762,0.875714081219486,0.9774945770065075,358.5340546095176,0.70482987476339,"(1340.0, 836.0)","(1339.3411927877946, 838.4525658807212)",2.539509075024439,[1287  774 1389  901]
13,17-18FND_C656-1-027.tif.jpg,1,1,1.0,1,7285,59.882090524838496,155.53258704518083,2.5973139160976264,0.9229110888899698,0.9739304812834224,385.26197667087547,0.6167755127856941,"(2400.0, 1457.0)","(2399.632258064516, 1455.7059711736445)",1.3452675327058987,[2351 1383 2450 1530]
14,17-18FND_C656-1-027.tif.jpg,1,1,1.0,3,8954,72.4252464400436,158.1783027850192,2.184021602411326,0.88901867944298,0.9787931788369042,407.11984104714446,0.6788634352600387,"(1708.5, 557.0)","(1712.2397811034175, 562.4539870448962)",6.613012731529694,[1671  479 1753  642]
15,17-18FND_C656-1-027.tif.jpg,1,1,1.0,0,5720,61.73324163633321,122.87410724425524,1.9904042617444127,0.8646292209172602,0.9731201088805717,329.07821048680194,0.6637547452004487,"(486.0, 1706.0)","(493.9798951048951, 1711.986013986014)",9.975524513823066,[ 430 1664  546 1748]
16,17-18FND_C656-1-027.tif.jpg,1,1,1.0,3,7092,63.73902686419255,142.4407356509541,2.2347491428516735,0.8942951810240404,0.9809128630705394,359.56349186104046,0.6893303691388507,"(2217.0, 850.5)","(2218.3687253243093, 850.9589678510998)",1.4436275495253834,[2181  779 2255  926]
